발전소명,용량,제어방식,주소
kch_안좌스마트팜쏠라시티,192000,인버터,전라남도 신안군 안좌면 내호리 892
원호솔라파크 원호일호점,391.23,인버터,"전남 해남군 황산면 원호리 435-117, 435-116"
원호솔라파크 원호이호점,606.69,인버터,전남 해남군 황산면 원호리 435-127
원호솔라파크 원호삼호점,589.68,인버터,전남 해남군 황산면 원호리 435-129
지에스솔라 에스일호점,629.37,인버터,전남 해남군 황산면 원호리 435-130
지에스솔라 에스이호점,629.37,인버터,전남 해남군 황산면 원호리 435-131
지에스솔라 에스삼호점,595.35,인버터,전남 해남군 황산면 원호리 435-132
유원미래,1477.35,인버터,전라남도 강진군 군동면 군장로 80-93
강진항촌,9955.53,인버터,전라남도 강진군 도암면 월하안길 31-21
포스코퓨처엠,2200.11,인버터,전라남도 광양시 광양읍 세풍리 2228-1(포스코퓨처엠지붕 태양광발전소)
광양알루미늄 태양광발전소 1호,2931.68,인버터,전라남도 광양시 광양읍 세풍리 2237-1
두레태양광,993.75,인버터,전라남도 나주시 공산면 동촌리 산 117-2
가영태양광,306.36,인버터,전라남도 나주시 반남면 청송리 165-25
신안파워 제1호,1966,인버터,전라남도 신안군 팔금면 원산리 769-4 외2
신안파워 제3호,7500,인버터,전라남도 신안군 팔금면 진고리 55-6(오림진고길 167)
상록,849.15,인버터,전라남도 영암군 시종면 구산로 195
강령,805.12,인버터,전라남도 영암군 시종면 구산리 444-7
월출산,348,인버터,전라남도 영암군 영암읍 개신리 762-19
영훈3호 에너지,299.88,인버터,전라남도 해남군 문내면 석교리 산476
Hoony Energy 2호,299.88,인버터,전라남도 해남군 문내면 석교리 산476
꽃초롱,949.875,인버터,전라남도 해남군 문내면 용암리 산 85-1
청암,499.69,인버터,전라남도 해남군 송지면 학가리 249-1
대경금호,999.635,인버터,전라남도 해남군 황산면 관춘리 88
DSP10호,999.635,인버터,전라남도 해남군 황산면 관춘리 산278
지구발전소,991.705,인버터,"전라북도 김제시 백산면 조종로 162-11 (조종리 535-40, 조종리 535-41, 조종리 535-55, 조종리 535-56, 558-13)"
수성,984.77,인버터,"전라북도 김제시 백산면 조종로 162-11 (조종리 535-57, 558-11, 558-14)"
금성,499.2,인버터,"전라북도 김제시 백산면 조종로 162-11 (조종리 558-2, 10, 12, 15)"
찬들,993.6,인버터,전라북도 남원시 주천면 정령치로 786-28
누리,897.245,인버터,"전라북도 부안군 계화면 양산리 2457-4, 2457-5"
도담,998.715,인버터,전라북도 부안군 동진면 안성리 1852-2
아람,914.62,인버터,전라북도 부안군 동진면 안성리 1852-8
가온,723.495,인버터,전라북도 부안군 행안면 새포로 99-23
용권,2643.84,인버터,제주특별자치도 제주시 애월읍 어음10길 67
해찬,1596,인버터,제주특별자치도 서귀포시 도순동 85
현진,999.6,인버터,제주특별자치도 서귀포시 대정읍 동일리 360
다연쏠라,999.1,인버터,제주특별자치도 서귀포시 남원읍 신흥리 1938
아름,998.58,인버터,제주특별자치도 서귀포시 표선면 가시리 2615-1
지안,998.58,인버터,제주특별자치도 서귀포시 표선면 가시리 2615-2
경림,997.92,인버터,제주특별자치도 제주시 한경면 판포리 774
삼영,983.34,인버터,제주특별자치도 제주시 애월읍 어음리 1751
휴,983.34,인버터,제주특별자치도 제주시 애월읍 어음리 1757-1
티앤알1호,974.4,MOP,제주특별자치도 서귀포시 남원읍 위미리 3746-3
위미리,925.68,MOP,제주특별자치도 서귀포시 남원읍 위미리 3746-3
송욱,914.48,MOP,제주특별자치도 제주시 조천읍 교래리 773-2
정성2호,900.72,인버터,제주특별자치도 서귀포시 남원읍 수망리 966-4
탑인프라보현,896.4,인버터,제주특별자치도 서귀포시 안덕면 화순서서로 226-67
태원,864,MOP,제주특별자치도 서귀포시 남원읍 자배오름로 221
강산에너지,749.7,인버터,제주특별자치도 제주시 회천동 237
열매,646.8,인버터,제주특별자치도 서귀포시 남원읍 위미리 1188-1
스마트,499.8,인버터,제주특별자치도 서귀포시 남원읍 위미리 1205
곱은달,498.76,인버터,"제주특별자치도 제주시 조천읍 대흘리 945, 943-4"
제동,498.64,MOP,"제주시 한경면 조수리 2158,2163"
교래리,495,인버터,제주특별자치도 조천읍 교래리 762
위미,492.9,인버터,제주특별자치도 서귀포시 남원읍 위미리 1187
무릉,491.4,인버터,제주 서귀포시 대정읍 무릉리 3837번지
월천에너지,446.76,인버터,제주특별자치도 제주시 한림읍 월령리 1165
영관,401.76,인버터,제주특별자치도 제주시 애월읍 어음리 1203-1
신우,396,인버터,제주특별자치도 제주시 한경면 두모리 1123
해온,355.3,인버터,제주특별자치도 서귀포시 토평서로 44번길 43
가온,347.76,인버터,제주특별자치도 서귀포시 대정읍 인성리 53-1
수정,345.6,인버터,제주특별자치도 서귀포시 대정읍 동일리 2150
영락,327.06,인버터,제주특별자치도 서귀포시 대정읍 영락리 1850
구노제주솔라,320,인버터,제주특별자치도 서귀포시 성산읍 수산리 2122
하가리1호,315.98,인버터,제주특별자치도 제주시 애월읍 진동산길 90
임광,286.65,인버터,제주특별자치도 한림읍 상대리 703
금정,168.49,MOP,제주특별자치도 제주시 애월읍 하가리 369-3
연화,150.06,MOP,제주특별자치도 제주시 애월읍 하가리 420
강정,99.4,인버터,제주특별자치도 제주시 한림읍 금악리 1774
성앤준,98.42,인버터,제주특별자치도 제주시 조천읍 대흘리 944
두못개,98.42,인버터,제주특별자치도 제주시 한경면 두모리 1963
혜진1호,97.92,MOP,제주특별자치도 서귀포시 색달동 1204-5
